,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
82,amahai,40.0,ID,1620878751.0,75.0,-3.3333,128.9167,84.47,7.16
83,bengkulu,55.0,ID,1620878751.0,69.0,-3.8004,102.2655,84.99,5.26
84,novoagansk,99.0,RU,1620878752.0,64.0,61.9449,76.6625,45.66,10.07
85,chuy,0.0,UY,1620878752.0,80.0,-33.6971,-53.4616,47.17,7.16
86,rio gallegos,43.0,AR,1620878662.0,66.0,-51.6226,-69.2181,45.55,13.49
87,ozernovskiy,29.0,RU,1620878752.0,84.0,51.5,156.5167,35.89,11.14
88,guhagar,100.0,IN,1620878753.0,57.0,17.4842,73.1929,88.88,4.56
89,mendoza,90.0,AR,1620878712.0,61.0,-32.8908,-68.8272,53.83,1.63
91,haines junction,55.0,CA,1620878753.0,51.0,60.7522,-137.5108,43.56,5.99
92,margate,93.0,GB,1620878753.0,80.0,51.3813,1.3862,52.7,3.0
93,ayan,13.0,RU,1620878753.0,78.0,56.45,138.1667,36.48,8.25
94,airai,49.0,TL,1620878754.0,63.0,-8.9266,125.4092,70.97,5.32
95,primorsk,12.0,UA,1620878754.0,75.0,46.7348,36.3443,55.15,5.82
96,port hedland,0.0,AU,1620878754.0,25.0,-20.3167,118.5667,91.33,13.8
98,balsas,73.0,BR,1620878755.0,65.0,-7.5325,-46.0356,75.33,2.46
99,punta arenas,75.0,CL,1620878747.0,88.0,-53.15,-70.9167,40.68,15.82
100,bredasdorp,7.0,ZA,1620878755.0,91.0,-34.5322,20.0403,51.12,4.12
102,carnarvon,0.0,AU,1620878755.0,37.0,-24.8667,113.6333,84.76,9.75
103,clyde river,100.0,CA,1620878490.0,93.0,70.4692,-68.5914,27.07,1.07
104,kodiak,90.0,US,1620878756.0,76.0,57.79,-152.4072,43.88,10.36
105,port lincoln,100.0,AU,1620878756.0,60.0,-34.7333,135.8667,57.72,16.04
106,upernavik,100.0,GL,1620878756.0,94.0,72.7868,-56.1549,25.95,6.24
107,hofn,15.0,IS,1620878757.0,67.0,64.2539,-15.2082,35.82,2.01
108,oktyabrskoye,0.0,RU,1620878757.0,57.0,43.0645,44.7417,44.24,0.65
109,taoudenni,0.0,ML,1620878757.0,8.0,22.6783,-3.9836,86.0,8.55
110,mae sot,80.0,TH,1620878757.0,47.0,16.7167,98.5667,93.61,3.96
111,padilla,85.0,CO,1620878758.0,89.0,3.2204,-76.3139,59.92,3.94
112,san policarpo,39.0,PH,1620878758.0,78.0,12.1791,125.5072,83.95,10.96
113,kapaa,90.0,US,1620878714.0,69.0,22.0752,-159.319,80.55,5.01
114,kropotkin,0.0,RU,1620878535.0,82.0,45.4375,40.5756,54.54,4.56
115,talnakh,100.0,RU,1620878818.0,99.0,69.4865,88.3972,32.25,2.73
116,cabo san lucas,51.0,MX,1620878764.0,62.0,22.8909,-109.9124,82.81,9.66
